mcc_code;mcc_category
5945;Детские товары
5641;Детские товары
4111;Транспорт
4121;Транспорт
4131;Транспорт
4457;Транспорт
4468;Транспорт
4784;Транспорт
5013;Транспорт
5271;Транспорт
5551;Транспорт
5561;Транспорт
5592;Транспорт
5598;Транспорт
5599;Транспорт
7511;Транспорт
7523;Транспорт
7512;Транспорт
3441;Транспорт
7230;Красота
7297;Красота
5977;Красота
780;Услуги
1799;Услуги
5044;Услуги
5978;Услуги
7210;Услуги
7211;Услуги
7216;Услуги
7221;Услуги
7251;Услуги
7261;Услуги
7311;Услуги
7333;Услуги
7338;Услуги
7361;Услуги
5734;Услуги
7372;Услуги
7375;Услуги
7379;Услуги
7392;Услуги
7393;Услуги
7395;Услуги
8931;Услуги
5964;Магазин на диване
5965;Магазин на диване
5967;Магазин на диване
5968;Магазин на диване
5969;Магазин на диване
3351;Авто
3352;Авто
3353;Авто
3354;Авто
3355;Авто
3356;Авто
3357;Авто
3358;Авто
3359;Авто
3360;Авто
3361;Авто
3362;Авто
3363;Авто
3364;Авто
3365;Авто
3366;Авто
3367;Авто
3368;Авто
3369;Авто
3370;Авто
3371;Авто
3372;Авто
3373;Авто
3374;Авто
3375;Авто
3376;Авто
3377;Авто
3378;Авто
3379;Авто
3380;Авто
3381;Авто
3382;Авто
3383;Авто
3384;Авто
3385;Авто
3386;Авто
3387;Авто
3388;Авто
3389;Авто
3390;Авто
3391;Авто
3392;Авто
3393;Авто
3394;Авто
3395;Авто
3396;Авто
3397;Авто
3398;Авто
3400;Авто
3401;Авто
3402;Авто
3403;Авто
3404;Авто
3405;Авто
3406;Авто
3407;Авто
3408;Авто
3409;Авто
3410;Авто
3412;Авто
3413;Авто
3414;Авто
3415;Авто
3416;Авто
3417;Авто
3418;Авто
3419;Авто
3420;Авто
3421;Авто
3422;Авто
3423;Авто
3425;Авто
3426;Авто
3427;Авто
3428;Авто
3429;Авто
3430;Авто
3431;Авто
3432;Авто
3433;Авто
3434;Авто
3435;Авто
3436;Авто
3437;Авто
3438;Авто
3439;Авто
7513;Авто
7519;Авто
7523;Авто
5533;Авто
5172;Авто
5541;Авто
5542;Авто
5983;Авто
5511;Авто
5521;Авто
7531;Авто
7542;Авто
7538;Авто
8220;Образование
8241;Образование
8249;Образование
8299;Образование
5816;Развлечения
7911;Развлечения
7929;Развлечения
7932;Развлечения
7933;Развлечения
7991;Развлечения
7992;Развлечения
7993;Развлечения
7994;Развлечения
7996;Развлечения
7998;Развлечения
7999;Развлечения
8664;Развлечения
7922;Развлечения
7929;Развлечения
7829;Развлечения
7832;Развлечения
7841;Развлечения
8011;Здоровье
8099;Здоровье
8062;Здоровье
8050;Здоровье
8021;Здоровье
5122;Здоровье
5292;Здоровье
5295;Здоровье
5912;Здоровье
5047;Здоровье
5976;Здоровье
8042;Здоровье
8043;Здоровье
8049;Здоровье
8071;Здоровье
5811;Рестораны
5812;Рестораны
5813;Рестораны
5814;Рестораны
5995;Животные
742;Животные
5944;Подарки
5932;Подарки
5937;Подарки
5970;Подарки
5971;Подарки
5972;Подарки
5973;Подарки
5094;Подарки
5193;Подарки
5992;Подарки
2741;Подарки
5111;Подарки
5192;Подарки
5942;Подарки
5994;Подарки
5947;Подарки
5946;Подарки
5948;Подарки
5722;Техника
5732;Техника
5065;Техника
4011;Транспорт
4112;Транспорт
5137;Одежда
5139;Одежда
5611;Одежда
5621;Одежда
5631;Одежда
5641;Одежда
5651;Одежда
5661;Одежда
5681;Одежда
5691;Одежда
5697;Одежда
5698;Одежда
5699;Одежда
5931;Одежда
5944;Одежда
5949;Одежда
5950;Одежда
7296;Одежда
5661;Одежда
5964;Маркетплэйсы
5297;Супермаркеты
5298;Супермаркеты
5300;Супермаркеты
5411;Супермаркеты
5412;Супермаркеты
5422;Супермаркеты
5441;Супермаркеты
5451;Супермаркеты
5462;Супермаркеты
5499;Супермаркеты
5715;Супермаркеты
5921;Супермаркеты
5310;Супермаркеты
5311;Супермаркеты
5331;Супермаркеты
5399;Супермаркеты
5451;Супермаркеты
1520;Ремонт
1711;Ремонт
1731;Ремонт
1740;Ремонт
1750;Ремонт
1761;Ремонт
1771;Ремонт
1799;Ремонт
2791;Ремонт
2842;Ремонт
5021;Ремонт
5039;Ремонт
5046;Ремонт
5051;Ремонт
5065;Ремонт
5072;Ремонт
5074;Ремонт
5085;Ремонт
5198;Ремонт
5415;Ремонт
5722;Ремонт
7622;Ремонт
7623;Ремонт
7629;Ремонт
7631;Ремонт
7641;Ремонт
7692;Ремонт
7699;Ремонт
7641;Ремонт
7394;Ремонт
5937;Ремонт
5712;Ремонт
5021;Ремонт
5045;Ремонт
5131;Ремонт
3000;Путешествия
3001;Путешествия
3002;Путешествия
3003;Путешествия
3004;Путешествия
3005;Путешествия
3006;Путешествия
3007;Путешествия
3008;Путешествия
3009;Путешествия
3010;Путешествия
3011;Путешествия
3012;Путешествия
3013;Путешествия
3014;Путешествия
3015;Путешествия
3016;Путешествия
3017;Путешествия
3018;Путешествия
3019;Путешествия
3020;Путешествия
3021;Путешествия
3022;Путешествия
3023;Путешествия
3024;Путешествия
3025;Путешествия
3026;Путешествия
3027;Путешествия
3028;Путешествия
3029;Путешествия
3030;Путешествия
3031;Путешествия
3032;Путешествия
3033;Путешествия
3034;Путешествия
3035;Путешествия
3036;Путешествия
3037;Путешествия
3038;Путешествия
3039;Путешествия
3040;Путешествия
3041;Путешествия
3042;Путешествия
3043;Путешествия
3044;Путешествия
3045;Путешествия
3046;Путешествия
3047;Путешествия
3048;Путешествия
3049;Путешествия
3050;Путешествия
3051;Путешествия
3052;Путешествия
3053;Путешествия
3054;Путешествия
3055;Путешествия
3056;Путешествия
3057;Путешествия
3058;Путешествия
3059;Путешествия
3060;Путешествия
3061;Путешествия
3062;Путешествия
3063;Путешествия
3064;Путешествия
3065;Путешествия
3066;Путешествия
3067;Путешествия
3068;Путешествия
3069;Путешествия
3071;Путешествия
3072;Путешествия
3075;Путешествия
3076;Путешествия
3077;Путешествия
3078;Путешествия
3079;Путешествия
3081;Путешествия
3082;Путешествия
3083;Путешествия
3084;Путешествия
3085;Путешествия
3086;Путешествия
3087;Путешествия
3088;Путешествия
3089;Путешествия
3090;Путешествия
3092;Путешествия
3093;Путешествия
3094;Путешествия
3095;Путешествия
3096;Путешествия
3097;Путешествия
3098;Путешествия
3099;Путешествия
3100;Путешествия
3101;Путешествия
3102;Путешествия
3103;Путешествия
3104;Путешествия
3105;Путешествия
3106;Путешествия
3107;Путешествия
3109;Путешествия
3110;Путешествия
3111;Путешествия
3112;Путешествия
3113;Путешествия
3114;Путешествия
3115;Путешествия
3116;Путешествия
3117;Путешествия
3118;Путешествия
3119;Путешествия
3120;Путешествия
3121;Путешествия
3122;Путешествия
3123;Путешествия
3124;Путешествия
3125;Путешествия
3126;Путешествия
3127;Путешествия
3128;Путешествия
3129;Путешествия
3130;Путешествия
3131;Путешествия
3132;Путешествия
3133;Путешествия
3134;Путешествия
3135;Путешествия
3136;Путешествия
3137;Путешествия
3138;Путешествия
3139;Путешествия
3140;Путешествия
3141;Путешествия
3142;Путешествия
3143;Путешествия
3144;Путешествия
3145;Путешествия
3146;Путешествия
3147;Путешествия
3148;Путешествия
3150;Путешествия
3151;Путешествия
3152;Путешествия
3153;Путешествия
3154;Путешествия
3155;Путешествия
3156;Путешествия
3157;Путешествия
3158;Путешествия
3159;Путешествия
3160;Путешествия
3161;Путешествия
3162;Путешествия
3163;Путешествия
3164;Путешествия
3165;Путешествия
3166;Путешествия
3167;Путешествия
3168;Путешествия
3169;Путешествия
3170;Путешествия
3171;Путешествия
3172;Путешествия
3173;Путешествия
3174;Путешествия
3175;Путешествия
3176;Путешествия
3177;Путешествия
3178;Путешествия
3179;Путешествия
3180;Путешествия
3181;Путешествия
3182;Путешествия
3183;Путешествия
3184;Путешествия
3185;Путешествия
3186;Путешествия
3187;Путешествия
3188;Путешествия
3189;Путешествия
3190;Путешествия
3191;Путешествия
3192;Путешествия
3193;Путешествия
3194;Путешествия
3195;Путешествия
3196;Путешествия
3197;Путешествия
3198;Путешествия
3200;Путешествия
3201;Путешествия
3202;Путешествия
3203;Путешествия
3204;Путешествия
3205;Путешествия
3206;Путешествия
3207;Путешествия
3208;Путешествия
3209;Путешествия
3210;Путешествия
3211;Путешествия
3212;Путешествия
3213;Путешествия
3214;Путешествия
3215;Путешествия
3216;Путешествия
3217;Путешествия
3218;Путешествия
3219;Путешествия
3220;Путешествия
3221;Путешествия
3222;Путешествия
3223;Путешествия
3224;Путешествия
3225;Путешествия
3226;Путешествия
3227;Путешествия
3228;Путешествия
3229;Путешествия
3230;Путешествия
3231;Путешествия
3232;Путешествия
3233;Путешествия
3234;Путешествия
3235;Путешествия
3236;Путешествия
3237;Путешествия
3238;Путешествия
3239;Путешествия
3240;Путешествия
3241;Путешествия
3242;Путешествия
3243;Путешествия
3244;Путешествия
3245;Путешествия
3246;Путешествия
3247;Путешествия
3248;Путешествия
3249;Путешествия
3250;Путешествия
3251;Путешествия
3252;Путешествия
3253;Путешествия
3254;Путешествия
3256;Путешествия
3257;Путешествия
3258;Путешествия
3259;Путешествия
3260;Путешествия
3261;Путешествия
3262;Путешествия
3263;Путешествия
3265;Путешествия
3266;Путешествия
3267;Путешествия
3268;Путешествия
3270;Путешествия
3274;Путешествия
3275;Путешествия
3276;Путешествия
3277;Путешествия
3278;Путешествия
3279;Путешествия
3280;Путешествия
3282;Путешествия
3283;Путешествия
3284;Путешествия
3285;Путешествия
3286;Путешествия
3287;Путешествия
3288;Путешествия
3289;Путешествия
3290;Путешествия
3291;Путешествия
3292;Путешествия
3293;Путешествия
3294;Путешествия
3295;Путешествия
3296;Путешествия
3297;Путешествия
3298;Путешествия
3299;Путешествия
3300;Путешествия
4304;Путешествия
4415;Путешествия
4418;Путешествия
4511;Путешествия
4582;Путешествия
4722;Путешествия
5309;Путешествия
7011;Путешествия
3509;Путешествия
3502;Путешествия
3503;Путешествия
3504;Путешествия
3505;Путешествия
3506;Путешествия
3507;Путешествия
3508;Путешествия
3509;Путешествия
3510;Путешествия
3511;Путешествия
3512;Путешествия
3513;Путешествия
3514;Путешествия
3515;Путешествия
3516;Путешествия
3517;Путешествия
3518;Путешествия
3519;Путешествия
3520;Путешествия
3521;Путешествия
3522;Путешествия
3523;Путешествия
3524;Путешествия
3525;Путешествия
3526;Путешествия
3527;Путешествия
3528;Путешествия
3529;Путешествия
3530;Путешествия
3531;Путешествия
3532;Путешествия
3533;Путешествия
3534;Путешествия
3535;Путешествия
3536;Путешествия
3537;Путешествия
3538;Путешествия
3539;Путешествия
3540;Путешествия
3541;Путешествия
3542;Путешествия
3543;Путешествия
3544;Путешествия
3545;Путешествия
3546;Путешествия
3547;Путешествия
3548;Путешествия
3549;Путешествия
3550;Путешествия
3552;Путешествия
3553;Путешествия
3554;Путешествия
3555;Путешествия
3556;Путешествия
3557;Путешествия
3558;Путешествия
3559;Путешествия
3560;Путешествия
3561;Путешествия
3562;Путешествия
3563;Путешествия
3564;Путешествия
3565;Путешествия
3566;Путешествия
3567;Путешествия
3568;Путешествия
3569;Путешествия
3570;Путешествия
3571;Путешествия
3572;Путешествия
3573;Путешествия
3574;Путешествия
3575;Путешествия
3576;Путешествия
3577;Путешествия
3578;Путешествия
3579;Путешествия
3580;Путешествия
3581;Путешествия
